value,params_backbone,params_batch_size,params_center_crop_key,params_coreset_sampling_ratio,params_image_size_key,params_layers_key,params_max_patches_per_image,params_num_neighbors,params_pre_trained,params_reduction,params_soft_corruption_level,params_soft_review_budget,params_soft_train_fraction
0.8201892744479495,resnet34,16,0.875,0.077,256,l3,1024,1,True,max,strong,0.385,0.91
0.8138801261829653,resnet34,16,0.875,0.083,256,l3,1024,1,True,max,strong,0.385,0.91
0.8170347003154574,resnet34,16,0.875,0.083,256,l3,1024,1,True,max,strong,0.385,0.92
0.8517350157728707,resnet34,16,0.875,0.081,256,l3,1024,1,True,max,strong,0.385,0.94
0.8201892744479495,resnet34,16,0.875,0.083,256,l3,1024,1,True,max,strong,0.385,0.95
0.8359621451104101,resnet34,16,0.875,0.087,256,l3,1024,1,True,max,strong,0.385,0.95
0.8233438485804416,resnet34,16,0.875,0.089,256,l3,1024,1,True,max,strong,0.385,0.96
0.832807570977918,resnet34,16,0.875,0.085,256,l3,1024,1,True,max,strong,0.385,0.96
0.8233438485804416,resnet34,16,0.875,0.087,256,l3,1024,1,True,max,strong,0.385,0.95
0.8296529968454258,resnet34,16,0.875,0.091,256,l3,1024,1,True,max,strong,0.385,0.94
0.8107255520504731,resnet34,16,0.875,0.091,256,l3,1024,1,True,max,strong,0.385,0.96
0.8170347003154574,resnet34,16,0.875,0.087,256,l3,1024,1,True,max,strong,0.385,0.95
0.8138801261829653,resnet34,16,0.875,0.085,256,l3,1024,1,True,max,strong,0.385,0.99
0.8233438485804416,resnet34,16,0.875,0.089,256,l3,1024,1,True,max,strong,0.385,0.95
0.8201892744479495,resnet34,16,0.875,0.091,256,l3,1024,1,True,max,strong,0.385,0.95
0.8170347003154574,resnet34,16,0.875,0.089,256,l3,1024,1,True,max,strong,0.385,0.94
0.8359621451104101,resnet34,16,0.875,0.089,256,l3,1024,1,True,max,strong,0.385,0.95
0.8422712933753943,resnet34,16,0.875,0.089,256,l3,1024,1,True,max,strong,0.385,0.94
0.8233438485804416,resnet34,16,0.875,0.089,256,l3,1024,1,True,max,strong,0.385,0.95
0.8296529968454258,resnet34,16,0.875,0.089,256,l3,1024,1,True,max,strong,0.385,0.95
0.832807570977918,resnet34,16,0.875,0.091,256,l3,1024,1,True,max,strong,0.385,0.96
0.8107255520504731,resnet34,16,0.875,0.091,256,l3,1024,1,True,max,strong,0.385,0.97
0.8296529968454258,resnet34,16,0.875,0.095,256,l3,1024,1,True,max,strong,0.385,0.95
0.8296529968454258,resnet34,16,0.875,0.097,256,l3,1024,1,True,max,strong,0.385,0.95
0.8391167192429022,resnet34,16,0.875,0.097,256,l3,1024,1,True,max,strong,0.385,0.95
0.804416403785489,resnet34,16,0.875,0.097,256,l3,1024,1,True,max,strong,0.385,0.98
0.8233438485804416,resnet34,16,0.875,0.101,256,l3,1024,1,True,max,strong,0.385,0.94
0.8422712933753943,resnet34,16,0.875,0.099,256,l3,1024,1,True,max,strong,0.385,0.94
0.8359621451104101,resnet34,16,0.875,0.101,256,l3,1024,2,True,max,strong,0.385,0.93
0.8264984227129337,resnet34,16,0.875,0.101,256,l3,1024,2,True,max,strong,0.385,0.93
0.832807570977918,resnet34,16,0.875,0.101,256,l3,1024,2,True,max,strong,0.385,0.93
0.8201892744479495,resnet34,16,0.875,0.101,256,l3,1024,2,True,max,strong,0.385,0.93
0.832807570977918,resnet34,16,0.875,0.101,256,l3,1024,1,True,max,strong,0.385,0.94
0.2235294117647059,resnet34,16,0.875,0.095,256,l3,1024,1,True,max,strong,0.045,0.97
0.8422712933753943,resnet34,16,0.875,0.097,256,l3,1024,2,True,max,strong,0.385,1.0
0.8422712933753943,resnet34,16,0.875,0.097,256,l3,1024,2,True,max,strong,0.385,0.93
0.8422712933753943,resnet34,16,0.875,0.097,256,l3,1024,2,True,max,strong,0.385,1.0
0.8454258675078864,resnet34,16,0.875,0.097,256,l3,1024,2,True,max,strong,0.385,0.99
0.8422712933753943,resnet34,16,0.875,0.097,256,l3,1024,2,True,max,strong,0.385,1.0
0.8422712933753943,resnet34,16,0.875,0.097,256,l3,1024,2,True,max,strong,0.385,1.0
0.28895184135977336,resnet34,16,0.875,0.097,256,l3,1024,2,True,max,strong,0.06,1.0
0.6882453151618398,wide_resnet50_2,8,0.875,0.055,256,l3,1024,25,True,max,none,0.33,0.5
0.08585858585858586,resnet34,8,0.875,0.099,320,l2,128,26,True,mean,none,0.11,0.61
0.6313645621181263,resnet34,8,0.875,0.003,256,l2_l3,512,25,True,max,strong,0.22,0.66
0.10762331838565023,wide_resnet50_2,8,none,0.093,320,l2,512,25,True,max,strong,0.425,0.34
0.0,resnet50,8,none,0.045,256,l2,128,16,False,mean,mild,0.06,0.5
0.2737226277372263,resnet34,16,0.875,0.003,224,l3,1024,18,False,mean,strong,0.285,0.92
0.6158940397350994,resnet50,16,none,0.041,320,l3,128,21,True,mean,strong,0.35,0.84
0.1162227602905569,wide_resnet50_2,16,none,0.095,256,l2_l3,128,30,True,max,mild,0.13,0.67
0.031331592689295036,wide_resnet50_2,16,none,0.085,320,l2_l3,512,21,False,max,strong,0.095,0.38
0.06048387096774194,resnet50,16,0.875,0.063,320,l3,256,22,False,max,mild,0.225,0.3
0.0379746835443038,resnet18,16,none,0.089,320,l1_l2_l3,512,7,False,mean,strong,0.2,0.52
0.17805383022774326,resnet18,8,0.875,0.019,256,l1_l2_l3,512,16,False,max,mild,0.21,0.95
0.140893470790378,resnet50,8,none,0.095,320,l2_l3,128,4,True,max,mild,0.325,0.23
0.39285714285714285,wide_resnet50_2,16,0.875,0.073,224,l2_l3,128,3,True,max,mild,0.235,0.52
0.2689335394126739,resnet34,16,0.875,0.009,224,l3,256,18,False,mean,none,0.4,0.73
0.05945945945945946,resnet18,8,0.875,0.087,320,l1_l2_l3,128,21,True,max,mild,0.08,0.85
0.25287356321839083,resnet34,8,none,0.031,224,l1_l2_l3,256,20,False,max,none,0.055,0.24
0.16666666666666666,resnet50,8,0.875,0.051,224,l2,512,22,True,max,strong,0.235,0.65
0.3575757575757576,resnet18,8,0.875,0.055,320,l3,128,23,True,max,strong,0.415,0.69
0.549520766773163,wide_resnet50_2,16,0.875,0.041,224,l1_l2_l3,512,28,False,mean,strong,0.375,0.98
0.07547169811320754,resnet50,8,0.875,0.079,224,l2,512,16,False,max,none,0.265,0.29
0.0914826498422713,resnet34,8,none,0.043,320,l2,1024,1,False,mean,none,0.385,0.43
0.1961367013372957,resnet34,16,0.875,0.087,320,l2,512,9,True,max,strong,0.43,0.81
